"source","target","weight","type"
"Camelo, Sergio","Castro, Luciano de",1,"Undirected"
"Camelo, Sergio","Papavasiliou, Anthony",1,"Undirected"
"Camelo, Sergio","Riascos, Alvaro J.",1,"Undirected"
"Camelo, Sergio","Oren, Shmuel",1,"Undirected"
"Castro, Luciano de","Papavasiliou, Anthony",1,"Undirected"
"Castro, Luciano de","Riascos, Alvaro J.",1,"Undirected"
"Castro, Luciano de","Oren, Shmuel",1,"Undirected"
"Papavasiliou, Anthony","Riascos, Alvaro J.",1,"Undirected"
"Papavasiliou, Anthony","Oren, Shmuel",1,"Undirected"
"Riascos, Alvaro J.","Oren, Shmuel",1,"Undirected"
"Villamizar-Villegas, Mauricio","Perez-Reyna, David",1,"Undirected"
"Meisel-Roca, Adolfo","Vega, Margarita",1,"Undirected"
"Nieto, Fabio H.","Melo-Velandia, Luis Fernando",1,"Undirected"
"Cano-Sánz, Carlos Gustavo","Esguerra-Umaña, María del Pilar",1,"Undirected"
"Cano-Sánz, Carlos Gustavo","García-Bohórquez, Nidia",1,"Undirected"
"Cano-Sánz, Carlos Gustavo","Rueda-Gil, Jorge Leonardo",1,"Undirected"
"Cano-Sánz, Carlos Gustavo","Velasco, Andrés M.",1,"Undirected"
"Esguerra-Umaña, María del Pilar","García-Bohórquez, Nidia",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Rueda-Gil, Jorge Leonardo",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Velasco, Andrés M.",1,"Undirected"
"García-Bohórquez, Nidia","Rueda-Gil, Jorge Leonardo",1,"Undirected"
"García-Bohórquez, Nidia","Velasco, Andrés M.",1,"Undirected"
"Rueda-Gil, Jorge Leonardo","Velasco, Andrés M.",1,"Undirected"
"Tenjo-Galarza, Fernando","Charry, Luisa F.",1,"Undirected"
"Tenjo-Galarza, Fernando","López-Piñeros, Martha Rosalba",1,"Undirected"
"Tenjo-Galarza, Fernando","Ramírez-Cortés, Juan Mauricio",1,"Undirected"
"Charry, Luisa F.","López-Piñeros, Martha Rosalba",1,"Undirected"
"Charry, Luisa F.","Ramírez-Cortés, Juan Mauricio",1,"Undirected"
"López-Piñeros, Martha Rosalba","Ramírez-Cortés, Juan Mauricio",1,"Undirected"
"Melo-Velandia, Luis Fernando","Moreno-Gutiérrez, José Fernando",1,"Undirected"
"Reveiz-Herault, Alejandro","León-Rincón, Carlos Eduardo",1,"Undirected"
"Medina-Durango, Carlos Alberto","Vélez, Carlos Eduardo",1,"Undirected"
"Iregui-Bohórquez, Ana María","Melo-Becerra, Ligia Alba",1,"Undirected"
"Iregui-Bohórquez, Ana María","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Iregui-Bohórquez, Ana María","Tribín-Uribe, Ana María",1,"Undirected"
"Melo-Becerra, Ligia Alba","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Melo-Becerra, Ligia Alba","Tribín-Uribe, Ana María",1,"Undirected"
"Ramírez-Giraldo, María Teresa","Tribín-Uribe, Ana María",1,"Undirected"
"Langebaek-Rueda, Andrés","Osorio-R., Walter",1,"Undirected"
"Huertas-Campos, Carlos Alfonso","Jalil-Barney, Munir Andrés",1,"Undirected"
"Huertas-Campos, Carlos Alfonso","Olarte, Sergio",1,"Undirected"
"Huertas-Campos, Carlos Alfonso","Romero-Chamorro, José Vicente",1,"Undirected"
"Jalil-Barney, Munir Andrés","Olarte, Sergio",1,"Undirected"
"Jalil-Barney, Munir Andrés","Romero-Chamorro, José Vicente",1,"Undirected"
"Olarte, Sergio","Romero-Chamorro, José Vicente",1,"Undirected"
"Melo-Becerra, Ligia Alba","Ramos-Forero, Jorge Enrique",1,"Undirected"
"Gómez-González, José Eduardo","Morales-Acevedo, Paola",1,"Undirected"
"Gómez-González, José Eduardo","Pineda, Fernando",1,"Undirected"
"Gómez-González, José Eduardo","Zamudio-Gómez, Nancy Eugenia",1,"Undirected"
"Morales-Acevedo, Paola","Pineda, Fernando",1,"Undirected"
"Morales-Acevedo, Paola","Zamudio-Gómez, Nancy Eugenia",1,"Undirected"
"Pineda, Fernando","Zamudio-Gómez, Nancy Eugenia",1,"Undirected"
"Medina-Durango, Carlos Alberto","Tamayo-Castaño, Jorge Andrés",1,"Undirected"
"García-Pulgarín, Julián David","Gómez-Restrepo, Javier",1,"Undirected"
