"source","target","weight","type"
"López-Enciso, Enrique Antonio","Montes-Uribe, Enrique",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Parra-Ulloa, Sergio",1,"Undirected"
"Medina-Durango, Carlos Alberto","Posso-Suárez, Christian Manuel",1,"Undirected"
"Misas A., Martha","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Rowland, Peter","Oliveros, Hugo",1,"Undirected"
"Sánchez-Beltrán, Paulo Mauricio","Melo-Velandia, Luis Fernando",1,"Undirected"
"Melo-Velandia, Luis Fernando","Nuñez, Héctor",1,"Undirected"
"Restrepo-Ángel, Sergio","Niño-Cuervo, Jorge",1,"Undirected"
"Restrepo-Ángel, Sergio","Montes-Uribe, Enrique",1,"Undirected"
"Niño-Cuervo, Jorge","Montes-Uribe, Enrique",1,"Undirected"
"Urrutia-Montoya, Miguel","Posada, Carlos Esteban",1,"Undirected"
"Urrutia-Montoya, Miguel","Pontón, Adriana",1,"Undirected"
"Urrutia-Montoya, Miguel","Martínez, Oscar",1,"Undirected"
"Posada, Carlos Esteban","Pontón, Adriana",1,"Undirected"
"Posada, Carlos Esteban","Martínez, Oscar",1,"Undirected"
"Pontón, Adriana","Martínez, Oscar",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Chavarro-Sanchez, Ximena",1,"Undirected"
"Arango-Thomas, Luis Eduardo","González-Molano, Eliana Rocío",1,"Undirected"
"Chavarro-Sanchez, Ximena","González-Molano, Eliana Rocío",1,"Undirected"
"Gamba-Santamaría, Santiago","Jaulín-Méndez, Oscar Fernando",1,"Undirected"
"Gamba-Santamaría, Santiago","Melo-Velandia, Luis Fernando",1,"Undirected"
"Gamba-Santamaría, Santiago","Quicazán-Moreno, Carlos Andrés",1,"Undirected"
"Jaulín-Méndez, Oscar Fernando","Melo-Velandia, Luis Fernando",1,"Undirected"
"Jaulín-Méndez, Oscar Fernando","Quicazán-Moreno, Carlos Andrés",1,"Undirected"
"Melo-Velandia, Luis Fernando","Quicazán-Moreno, Carlos Andrés",1,"Undirected"
"Gómez-Barrero, Sebástian","Parra-Polanía, Julián Andrés",1,"Undirected"
"Tenjo-Galarza, Fernando","Montes-Uribe, Enrique",1,"Undirected"
"Tenjo-Galarza, Fernando","Martínez-T., Jorge",1,"Undirected"
"Montes-Uribe, Enrique","Martínez-T., Jorge",1,"Undirected"
"Gómez-Restrepo, Javier","Hérnandez-Herrera, Juan Manuel",1,"Undirected"
"Carrasquilla-Barrera, Alberto","Galindo, Arturo José",1,"Undirected"
"Oliveros, Hugo","Varela, Carlos",1,"Undirected"
"Bustamante, Christian","Rojas, Luis Eduardo",1,"Undirected"
"Melo-Velandia, Luis Fernando","Ramírez, Juan Mauricio",1,"Undirected"
"Melo-Velandia, Luis Fernando","Ramos-Veloza, Mario Andrés",1,"Undirected"
"Ramírez, Juan Mauricio","Ramos-Veloza, Mario Andrés",1,"Undirected"
"Garavito-Acosta, Aarón Levi","Huertas-Campos, Carlos Alfonso",1,"Undirected"
"Garavito-Acosta, Aarón Levi","López-Valenzuela, David Camilo",1,"Undirected"
"Garavito-Acosta, Aarón Levi","Parra-Polanía, Julián Andrés",1,"Undirected"
"Huertas-Campos, Carlos Alfonso","López-Valenzuela, David Camilo",1,"Undirected"
"Huertas-Campos, Carlos Alfonso","Parra-Polanía, Julián Andrés",1,"Undirected"
"López-Valenzuela, David Camilo","Parra-Polanía, Julián Andrés",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Cardona-Sosa, Lina Marcela",1,"Undirected"
"Jaramillo, Jaime","Meisel-Roca, Adolfo",1,"Undirected"
"Jaramillo, Jaime","Urrutia-Montoya, Miguel",1,"Undirected"
"Meisel-Roca, Adolfo","Urrutia-Montoya, Miguel",1,"Undirected"
"López-Castaño, Hugo Alberto","Posso-Suárez, Christian Manuel",1,"Undirected"
"López-Castaño, Hugo Alberto","Rhenals, Remberto",1,"Undirected"
"López-Castaño, Hugo Alberto","Botero, Jesus",1,"Undirected"
"Posso-Suárez, Christian Manuel","Rhenals, Remberto",1,"Undirected"
"Posso-Suárez, Christian Manuel","Botero, Jesus",1,"Undirected"
"Rhenals, Remberto","Botero, Jesus",1,"Undirected"
"Díaz-Barreto, Laura Catalina","Gamboa-Arbeláez, Juliana",1,"Undirected"
"Díaz-Barreto, Laura Catalina","Gómez-González, José Eduardo",1,"Undirected"
"Díaz-Barreto, Laura Catalina","Meisel-Roca, Adolfo",1,"Undirected"
"Gamboa-Arbeláez, Juliana","Gómez-González, José Eduardo",1,"Undirected"
"Gamboa-Arbeláez, Juliana","Meisel-Roca, Adolfo",1,"Undirected"
"Gómez-González, José Eduardo","Meisel-Roca, Adolfo",1,"Undirected"
"Medina-Durango, Carlos Alberto","Posso-Suárez, Christian Manuel",1,"Undirected"
"Medina-Durango, Carlos Alberto","Tamayo-Castaño, Jorge Andrés",1,"Undirected"
"Posso-Suárez, Christian Manuel","Tamayo-Castaño, Jorge Andrés",1,"Undirected"
"Carrasquilla-Barrera, Alberto","Galindo, Arturo José",1,"Undirected"
"Carrasquilla-Barrera, Alberto","Patrón, Hilde",1,"Undirected"
"Galindo, Arturo José","Patrón, Hilde",1,"Undirected"
"Bonilla-Mejía, Leonardo","García-Suaza, Andrés Felipe",1,"Undirected"
"Bonilla-Mejía, Leonardo","Roa, Monica",1,"Undirected"
"García-Suaza, Andrés Felipe","Roa, Monica",1,"Undirected"
"Melo-Becerra, Ligia Alba","Ballesteros-R, Carlos Andrés",1,"Undirected"
"Posada, Carlos Esteban","Escobar-R., José Fernando",1,"Undirected"
"Posada, Carlos Esteban","Gómez, Wilman",1,"Undirected"
"Posada, Carlos Esteban","Escobar-R., José Fernando",1,"Undirected"
"Misas A., Martha","Posada, Carlos Esteban",1,"Undirected"
"Amador-Torres, Juan Sebastián","Gaitán-Maldonado, Celina",1,"Undirected"
"Amador-Torres, Juan Sebastián","Gómez-González, José Eduardo",1,"Undirected"
"Amador-Torres, Juan Sebastián","Villamizar-Villegas, Mauricio",1,"Undirected"
"Amador-Torres, Juan Sebastián","Zárate-Solano, Hector Manuel",1,"Undirected"
"Gaitán-Maldonado, Celina","Gómez-González, José Eduardo",1,"Undirected"
"Gaitán-Maldonado, Celina","Villamizar-Villegas, Mauricio",1,"Undirected"
"Gaitán-Maldonado, Celina","Zárate-Solano, Hector Manuel",1,"Undirected"
"Gómez-González, José Eduardo","Villamizar-Villegas, Mauricio",1,"Undirected"
"Gómez-González, José Eduardo","Zárate-Solano, Hector Manuel",1,"Undirected"
"Villamizar-Villegas, Mauricio","Zárate-Solano, Hector Manuel",1,"Undirected"
"Granda, Catalina","Hamann-Salcedo, Franz Alonso",1,"Undirected"
"Granda, Catalina","Tamayo, Cesar E.",1,"Undirected"
"Hamann-Salcedo, Franz Alonso","Tamayo, Cesar E.",1,"Undirected"
"López-Piñeros, Martha Rosalba","Tenjo-Galarza, Fernando",1,"Undirected"
"López-Piñeros, Martha Rosalba","Zárate-Solano, Hector Manuel",1,"Undirected"
"Tenjo-Galarza, Fernando","Zárate-Solano, Hector Manuel",1,"Undirected"
"Guarín-López, Alexander","Lozano-Espitia, Luis Ignacio",1,"Undirected"
"Hamann-Salcedo, Franz Alonso","Hernández, Rafael",1,"Undirected"
"Hamann-Salcedo, Franz Alonso","Silva-Escobar, Luisa Fernanda",1,"Undirected"
"Hamann-Salcedo, Franz Alonso","Tenjo-Galarza, Fernando",1,"Undirected"
"Hernández, Rafael","Silva-Escobar, Luisa Fernanda",1,"Undirected"
"Hernández, Rafael","Tenjo-Galarza, Fernando",1,"Undirected"
"Silva-Escobar, Luisa Fernanda","Tenjo-Galarza, Fernando",1,"Undirected"
"Villar-Gómez, Leonardo","Salamanca-Rojas, David M.",1,"Undirected"
"Villar-Gómez, Leonardo","Murcia, Andrés",1,"Undirected"
"Salamanca-Rojas, David M.","Murcia, Andrés",1,"Undirected"
"Montenegro, Armando","Posada, Carlos Esteban",1,"Undirected"
"Rincón-Castro, Hernán","Ramos-Forero, Jorge Enrique",1,"Undirected"
"Rincón-Castro, Hernán","Lozano-Espitia, Luis Ignacio",1,"Undirected"
"Ramos-Forero, Jorge Enrique","Lozano-Espitia, Luis Ignacio",1,"Undirected"
"López-Enciso, Enrique Antonio","Ripoll, Marla",1,"Undirected"
"López-Enciso, Enrique Antonio","Cepeda-López, Freddy Hernán",1,"Undirected"
"Ripoll, Marla","Cepeda-López, Freddy Hernán",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Arias-Rodríguez, Fernando",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Flórez, Luz Adriana",1,"Undirected"
"Arias-Rodríguez, Fernando","Flórez, Luz Adriana",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Arias-Rodríguez, Fernando",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Flórez, Luz Adriana",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Jalil-Barney, Munir Andrés",1,"Undirected"
"Arias-Rodríguez, Fernando","Flórez, Luz Adriana",1,"Undirected"
"Arias-Rodríguez, Fernando","Jalil-Barney, Munir Andrés",1,"Undirected"
"Flórez, Luz Adriana","Jalil-Barney, Munir Andrés",1,"Undirected"
"Zárate-Solano, Hector Manuel","Sánchez, Katherine",1,"Undirected"
"Zárate-Solano, Hector Manuel","Marín, Margarita",1,"Undirected"
"Sánchez, Katherine","Marín, Margarita",1,"Undirected"
"Bernal, Joaquín","Cepeda-López, Freddy Hernán",1,"Undirected"
"Bernal, Joaquín","Ortega-Castro, Fabio Gonzalo",1,"Undirected"
"Cepeda-López, Freddy Hernán","Ortega-Castro, Fabio Gonzalo",1,"Undirected"
"Ordoñez-Callamand, Daniel","Melo-Velandia, Luis Fernando",1,"Undirected"
"Ordoñez-Callamand, Daniel","Valencia-Arana, Oscar Mauricio",1,"Undirected"
"Melo-Velandia, Luis Fernando","Valencia-Arana, Oscar Mauricio",1,"Undirected"
"Lozano-Espitia, Luis Ignacio","Arias-Rodríguez, Fernando",1,"Undirected"
"Ramos-Forero, Jorge Enrique","Rodríguez-Niño, Norberto",1,"Undirected"
"Lozano-Espitia, Luis Ignacio","Aristizabal, Carolina",1,"Undirected"
"Arango-Arango, Carlos Alberto","Rojas, Angela Milena",1,"Undirected"
"Castro, Freddy H.","Monroy, Ingrid",1,"Undirected"
"Medina-Durango, Carlos Alberto","Morales-Zurita, Leonardo Fabio",1,"Undirected"
"León-Rincón, Carlos Eduardo","Vivas, Francisco",1,"Undirected"
"Misas A., Martha","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Gómez-González, Esteban","Vásquez, Diego Mauricio",1,"Undirected"
"Gómez-González, Esteban","Zea, Camilo",1,"Undirected"
"Vásquez, Diego Mauricio","Zea, Camilo",1,"Undirected"
"Echavarría-Soto, Juan José","López-Enciso, Enrique Antonio",1,"Undirected"
"Echavarría-Soto, Juan José","Misas A., Martha",1,"Undirected"
"López-Enciso, Enrique Antonio","Misas A., Martha",1,"Undirected"
"Carvajal, Andrés","Zuleta, Hernando",1,"Undirected"
"Restrepo-Ángel, Sergio","Niño-Cuervo, Jorge",1,"Undirected"
"Restrepo-Ángel, Sergio","Montes-Uribe, Enrique",1,"Undirected"
"Niño-Cuervo, Jorge","Montes-Uribe, Enrique",1,"Undirected"
"Lozano-Espitia, Luis Ignacio","Julio-Román, Juan Manuel",1,"Undirected"
"Oliveros, Hugo","Huertas-Campos, Carlos Alfonso",1,"Undirected"
"Misas A., Martha","López-Enciso, Enrique Antonio",1,"Undirected"
"León-Rincón, Carlos Eduardo","Machado-Franco, Clara Lía",1,"Undirected"
"Gómez-González, José Eduardo","Cubillos-Rocha, Juan Sebastian",1,"Undirected"
"Gómez-González, José Eduardo","Melo-Velandia, Luis Fernando",1,"Undirected"
"Cubillos-Rocha, Juan Sebastian","Melo-Velandia, Luis Fernando",1,"Undirected"
"Langebaek-Rueda, Andrés","Vásquez, Diego Mauricio",1,"Undirected"
"García-Bohórquez, Nidia","Acosta-Pardo, Fayber Alfonso",1,"Undirected"
"García-Bohórquez, Nidia","Rueda-Gil, Jorge Leonardo",1,"Undirected"
"Acosta-Pardo, Fayber Alfonso","Rueda-Gil, Jorge Leonardo",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Melo-Velandia, Luis Fernando",1,"Undirected"
"Tenjo-Galarza, Fernando","López-Enciso, Enrique Antonio",1,"Undirected"
"Tenjo-Galarza, Fernando","Zamudio-Gómez, Nancy Eugenia",1,"Undirected"
"López-Enciso, Enrique Antonio","Zamudio-Gómez, Nancy Eugenia",1,"Undirected"
"Garavito-Acosta, Aarón Levi","Iregui-Bohórquez, Ana María",1,"Undirected"
"Garavito-Acosta, Aarón Levi","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Iregui-Bohórquez, Ana María","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Posada, Carlos Esteban",1,"Undirected"
"Gómez-González, José Eduardo","Uribe-Gil, Jorge Mario",1,"Undirected"
"Gómez-González, José Eduardo","Piñeros-Gordo, José Hernán",1,"Undirected"
"Uribe-Gil, Jorge Mario","Piñeros-Gordo, José Hernán",1,"Undirected"
"Misas A., Martha","Posada, Carlos Esteban",1,"Undirected"
"Murcia, Andrés","Rojas, Diego",1,"Undirected"
"García-Suaza, Andrés Felipe","Gómez-González, José Eduardo",1,"Undirected"
"Arteaga-Cabrales, Carolina","Granados-Castro, Joan Camilo",1,"Undirected"
"Arteaga-Cabrales, Carolina","Ojeda-Joya, Jair N.",1,"Undirected"
"Granados-Castro, Joan Camilo","Ojeda-Joya, Jair N.",1,"Undirected"
"Iregui-Bohórquez, Ana María","Melo-Becerra, Ligia Alba",1,"Undirected"
"Iregui-Bohórquez, Ana María","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Iregui-Bohórquez, Ana María","Tribín-Uribe, Ana María",1,"Undirected"
"Melo-Becerra, Ligia Alba","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Melo-Becerra, Ligia Alba","Tribín-Uribe, Ana María",1,"Undirected"
"Ramírez-Giraldo, María Teresa","Tribín-Uribe, Ana María",1,"Undirected"
"Arango-Arango, Carlos Alberto","Zárate-Solano, Héctor Manuel",1,"Undirected"
"Arango-Arango, Carlos Alberto","Suárez-Ariza, Nicolás F.",1,"Undirected"
"Zárate-Solano, Héctor Manuel","Suárez-Ariza, Nicolás F.",1,"Undirected"
"Orozco-Hinojosa, Inés Paola","Gómez-González, José Eduardo",1,"Undirected"
"Orozco-Hinojosa, Inés Paola","Piñeros-Gordo, José Hernán",1,"Undirected"
"Orozco-Hinojosa, Inés Paola","Romero-Chamorro, José Vicente",1,"Undirected"
"Gómez-González, José Eduardo","Piñeros-Gordo, José Hernán",1,"Undirected"
"Gómez-González, José Eduardo","Romero-Chamorro, José Vicente",1,"Undirected"
"Piñeros-Gordo, José Hernán","Romero-Chamorro, José Vicente",1,"Undirected"
"Puyana-Martínez, Rafael","Ramos-Veloza, Mario Andrés",1,"Undirected"
"Puyana-Martínez, Rafael","Zárate-Solano, Hector Manuel",1,"Undirected"
"Ramos-Veloza, Mario Andrés","Zárate-Solano, Hector Manuel",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Cardona-Sosa, Lina Marcela",1,"Undirected"
"Estrada, Dairo Ayiber","Gómez-González, Esteban",1,"Undirected"
"Estrada, Dairo Ayiber","Orozco-Hinojosa, Inés Paola",1,"Undirected"
"Gómez-González, Esteban","Orozco-Hinojosa, Inés Paola",1,"Undirected"
"Amaya, Carlos Andrés","Rowland, Peter",1,"Undirected"
"Rowland, Peter","Torres, José Luis",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Flórez, Luz Adriana",1,"Undirected"
"Salamanca, Andrés","Monroy, Viviana",1,"Undirected"
"Rubio-M., Orlando","Ojeda-Joya, Jair N.",1,"Undirected"
"Rubio-M., Orlando","Montes-Uribe, Enrique",1,"Undirected"
"Ojeda-Joya, Jair N.","Montes-Uribe, Enrique",1,"Undirected"
"Medina-Durango, Carlos Alberto","Posso-Suárez, Christian Manuel",1,"Undirected"
"Medina-Durango, Carlos Alberto","Tamayo-Castaño, Jorge Andrés",1,"Undirected"
"Medina-Durango, Carlos Alberto","Monsalve, Emma",1,"Undirected"
"Posso-Suárez, Christian Manuel","Tamayo-Castaño, Jorge Andrés",1,"Undirected"
"Posso-Suárez, Christian Manuel","Monsalve, Emma",1,"Undirected"
"Tamayo-Castaño, Jorge Andrés","Monsalve, Emma",1,"Undirected"
"Escobar-R., José Fernando","Posada, Carlos Esteban",1,"Undirected"
"Booth, Alison L.","Cardona-Sosa, Lina Marcela",1,"Undirected"
"Booth, Alison L.","Nolen, Patrick",1,"Undirected"
"Cardona-Sosa, Lina Marcela","Nolen, Patrick",1,"Undirected"
"Gómez-González, José Eduardo","León-Rincón, Carlos Eduardo",1,"Undirected"
"Gómez-González, José Eduardo","Leiton-Rodríguez, Karen Juliet",1,"Undirected"
"León-Rincón, Carlos Eduardo","Leiton-Rodríguez, Karen Juliet",1,"Undirected"
"Lozano-Espitia, Luis Ignacio","Herrera, Magaly",1,"Undirected"
"Iregui-Bohórquez, Ana María","Melo-Becerra, Ligia Alba",1,"Undirected"
"Iregui-Bohórquez, Ana María","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Melo-Becerra, Ligia Alba","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Ríos, Ana María",1,"Undirected"
"Balat, Jorge","Carranza-Romero, Juan Esteban Ramiro",1,"Undirected"
"Balat, Jorge","Martin, Juan D.",1,"Undirected"
"Carranza-Romero, Juan Esteban Ramiro","Martin, Juan D.",1,"Undirected"
"Gómez-González, José Eduardo","Hirs-Garzón, Jorge",1,"Undirected"
"Gómez-González, José Eduardo","Uribe-Gil, Jorge Mario",1,"Undirected"
"Hirs-Garzón, Jorge","Uribe-Gil, Jorge Mario",1,"Undirected"
"Gomez-Gonzalez, Jose Eduardo","Hirs-Garzon, Jorge",1,"Undirected"
"Gomez-Gonzalez, Jose Eduardo","Sanin-Restrepo, Sebastian",1,"Undirected"
"Hirs-Garzon, Jorge","Sanin-Restrepo, Sebastian",1,"Undirected"
"Tenjo-Galarza, Fernando","López-Piñeros, Martha Rosalba",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Mata, María Dolores de la",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Obando, Nataly",1,"Undirected"
"Mata, María Dolores de la","Obando, Nataly",1,"Undirected"
"Arango-Arango, Carlos Alberto","Misas A., Martha",1,"Undirected"
"Arango-Arango, Carlos Alberto","López-Enciso, Enrique Antonio",1,"Undirected"
"Misas A., Martha","López-Enciso, Enrique Antonio",1,"Undirected"
"Cepeda-Emiliani, Laura","Barón-Rivera, Juan David",1,"Undirected"
"Toro-Córdoba, Jorge Hernán","Julio-Román, Juan Manuel",1,"Undirected"
"Iregui-Bohórquez, Ana María","Melo-Velandia, Luis Fernando",1,"Undirected"
"Iregui-Bohórquez, Ana María","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Melo-Velandia, Luis Fernando","Ramírez-Giraldo, María Teresa",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Ardila, Luz Karine",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Gómez, Miguel Ignacio",1,"Undirected"
"Ardila, Luz Karine","Gómez, Miguel Ignacio",1,"Undirected"
"Pérez-Villalobos, Jhonatan","Mendoza-Gutiérrez, Juan Carlos",1,"Undirected"
"Melo-Velandia, Luis Fernando","Parra-Amado, Daniel",1,"Undirected"
"Gómez-González, José Eduardo","Melo-Velandia, Luis Fernando",1,"Undirected"
"Vargas-Herrera, Hernando","Hamann-Salcedo, Franz Alonso",1,"Undirected"
"Vargas-Herrera, Hernando","González-Gómez, Andrés",1,"Undirected"
"Hamann-Salcedo, Franz Alonso","González-Gómez, Andrés",1,"Undirected"
"Leyva-Uribe, Bernardo","Gómez-González, José Eduardo",1,"Undirected"
"Leyva-Uribe, Bernardo","Valencia-Arana, Oscar Mauricio",1,"Undirected"
"Leyva-Uribe, Bernardo","Villamizar-Villegas, Mauricio",1,"Undirected"
"Gómez-González, José Eduardo","Valencia-Arana, Oscar Mauricio",1,"Undirected"
"Gómez-González, José Eduardo","Villamizar-Villegas, Mauricio",1,"Undirected"
"Valencia-Arana, Oscar Mauricio","Villamizar-Villegas, Mauricio",1,"Undirected"
"Cardona-Sosa, Lina Marcela","Morales-Zurita, Leonardo Fabio",1,"Undirected"
"Kuersteiner, Guido M.","Phillips, David C.",1,"Undirected"
"Kuersteiner, Guido M.","Villamizar-Villegas, Mauricio",1,"Undirected"
"Phillips, David C.","Villamizar-Villegas, Mauricio",1,"Undirected"
"Estrada, Dairo Ayiber","Osorio, Poldy",1,"Undirected"
"Vargas-Herrera, Hernando","Varela, Carlos",1,"Undirected"
"Vargas-Herrera, Hernando","Betancourt-García, Yanneth Rocío",1,"Undirected"
"Vargas-Herrera, Hernando","Rodríguez-Niño, Norberto",1,"Undirected"
"Varela, Carlos","Betancourt-García, Yanneth Rocío",1,"Undirected"
"Varela, Carlos","Rodríguez-Niño, Norberto",1,"Undirected"
"Betancourt-García, Yanneth Rocío","Rodríguez-Niño, Norberto",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Pantoja, Javier",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Velásquez, Carlos Alberto",1,"Undirected"
"Pantoja, Javier","Velásquez, Carlos Alberto",1,"Undirected"
"Melo-Becerra, Ligia Alba","Hahn-de-Castro, Lucas Wilfried",1,"Undirected"
"Melo-Becerra, Ligia Alba","Ariza-Hernández, Dalma Sofía",1,"Undirected"
"Melo-Becerra, Ligia Alba","Carmona-Sanchez, Cristian Oswaldo",1,"Undirected"
"Hahn-de-Castro, Lucas Wilfried","Ariza-Hernández, Dalma Sofía",1,"Undirected"
"Hahn-de-Castro, Lucas Wilfried","Carmona-Sanchez, Cristian Oswaldo",1,"Undirected"
"Ariza-Hernández, Dalma Sofía","Carmona-Sanchez, Cristian Oswaldo",1,"Undirected"
"Reveiz-Herault, Alejandro","León-Rincón, Carlos Eduardo",1,"Undirected"
"Pirateque-Niño, Javier Eliecer","Piñeros-Gordo, José Hernán",1,"Undirected"
"Pirateque-Niño, Javier Eliecer","Mondragón, Linda",1,"Undirected"
"Piñeros-Gordo, José Hernán","Mondragón, Linda",1,"Undirected"
"Alonso-Masmela, Gloria Amparo","Niño-Cuervo, Jorge",1,"Undirected"
"Alonso-Masmela, Gloria Amparo","Zárate-Solano, Hector Manuel",1,"Undirected"
"Niño-Cuervo, Jorge","Zárate-Solano, Hector Manuel",1,"Undirected"
"Kamil, Herman","Pulido, José David",1,"Undirected"
"Kamil, Herman","Torres, José Luis",1,"Undirected"
"Pulido, José David","Torres, José Luis",1,"Undirected"
"Melo-Becerra, Ligia Alba","Zárate-Solano, Hector Manuel",1,"Undirected"
"Melo-Becerra, Ligia Alba","Téllez-Corredor, Juana Patricia",1,"Undirected"
"Zárate-Solano, Hector Manuel","Téllez-Corredor, Juana Patricia",1,"Undirected"
"Ramos-Forero, Jorge Enrique","Rincón-Castro, Hernán",1,"Undirected"
"Tenjo-Galarza, Fernando","López-Enciso, Enrique Antonio",1,"Undirected"
"Tenjo-Galarza, Fernando","Rodríguez-Hernández, Diego Hernán",1,"Undirected"
"López-Enciso, Enrique Antonio","Rodríguez-Hernández, Diego Hernán",1,"Undirected"
"Toro-Córdoba, Jorge Hernán","Garavito-Acosta, Aarón Levi",1,"Undirected"
"Toro-Córdoba, Jorge Hernán","López-Valenzuela, David Camilo",1,"Undirected"
"Toro-Córdoba, Jorge Hernán","Montes-Uribe, Enrique",1,"Undirected"
"Garavito-Acosta, Aarón Levi","López-Valenzuela, David Camilo",1,"Undirected"
"Garavito-Acosta, Aarón Levi","Montes-Uribe, Enrique",1,"Undirected"
"López-Valenzuela, David Camilo","Montes-Uribe, Enrique",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Parra, Freddy Felipe",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Pinzón, Álvaro José",1,"Undirected"
"Parra, Freddy Felipe","Pinzón, Álvaro José",1,"Undirected"
"Avella, Mauricio","Fergusson, Leopoldo",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Montes-Uribe, Enrique",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Garavito-Acosta, Aarón Levi",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Pulido-González, Carolina",1,"Undirected"
"Montes-Uribe, Enrique","Garavito-Acosta, Aarón Levi",1,"Undirected"
"Montes-Uribe, Enrique","Pulido-González, Carolina",1,"Undirected"
"Garavito-Acosta, Aarón Levi","Pulido-González, Carolina",1,"Undirected"
"Villar-Gómez, Leonardo","Esguerra-Umaña, María del Pilar",1,"Undirected"
"Arteaga-Cabrales, Carolina","Granados-Castro, Joan Camilo",1,"Undirected"
"Arteaga-Cabrales, Carolina","Ojeda-Joya, Jair N.",1,"Undirected"
"Granados-Castro, Joan Camilo","Ojeda-Joya, Jair N.",1,"Undirected"
"Hernández, Mauricio A.","Jalil-Barney, Munir Andrés",1,"Undirected"
"Hernández, Mauricio A.","Posada, Carlos Esteban",1,"Undirected"
"Jalil-Barney, Munir Andrés","Posada, Carlos Esteban",1,"Undirected"
"Posada, Carlos Esteban","Rojas-A., Andrea",1,"Undirected"
"Posada, Carlos Esteban","Rubiano, Eliana Carolina",1,"Undirected"
"Flórez, Luz Adriana","Posada, Carlos Esteban",1,"Undirected"
"Flórez, Luz Adriana","Escobar-R., José Fernando",1,"Undirected"
"Posada, Carlos Esteban","Escobar-R., José Fernando",1,"Undirected"
"Lozano-Espitia, Luis Ignacio","Melo-Becerra, Ligia Alba",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Posada, Carlos Esteban",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Montenegro, Paola",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Obando, Nataly",1,"Undirected"
"Montenegro, Paola","Obando, Nataly",1,"Undirected"
"López-Enciso, Enrique Antonio","Salamanca, Andrés",1,"Undirected"
"Melo-Becerra, Ligia Alba","Ramos-Forero, Jorge Enrique",1,"Undirected"
"Toro-Córdoba, Jorge Hernán","Alonso-Masmela, Gloria Amparo",1,"Undirected"
"Toro-Córdoba, Jorge Hernán","Esguerra-Umaña, María del Pilar",1,"Undirected"
"Toro-Córdoba, Jorge Hernán","Garrido, Daira",1,"Undirected"
"Toro-Córdoba, Jorge Hernán","Iregui-Bohórquez, Ana María",1,"Undirected"
"Toro-Córdoba, Jorge Hernán","Montes-Uribe, Enrique",1,"Undirected"
"Alonso-Masmela, Gloria Amparo","Esguerra-Umaña, María del Pilar",1,"Undirected"
"Alonso-Masmela, Gloria Amparo","Garrido, Daira",1,"Undirected"
"Alonso-Masmela, Gloria Amparo","Iregui-Bohórquez, Ana María",1,"Undirected"
"Alonso-Masmela, Gloria Amparo","Montes-Uribe, Enrique",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Garrido, Daira",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Iregui-Bohórquez, Ana María",1,"Undirected"
"Esguerra-Umaña, María del Pilar","Montes-Uribe, Enrique",1,"Undirected"
"Garrido, Daira","Iregui-Bohórquez, Ana María",1,"Undirected"
"Garrido, Daira","Montes-Uribe, Enrique",1,"Undirected"
"Iregui-Bohórquez, Ana María","Montes-Uribe, Enrique",1,"Undirected"
"Martín, Clara Patricia","Ramírez, Juan Mauricio",1,"Undirected"
"Iregui-Bohórquez, Ana María","Melo-Becerra, Ligia Alba",1,"Undirected"
"Iregui-Bohórquez, Ana María","Ramos-Forero, Jorge Enrique",1,"Undirected"
